Timestamp,CPU Usage (%)
1731696308.9747949,27.8
1731696309.1783855,6.3
1731696309.381535,7.7
1731696309.5847292,5.3
1731696309.785945,8.6
1731696309.9873576,8.5
1731696310.18864,7.9
1731696310.3901186,7.7
1731696310.5912778,8.8
1731696310.792454,13.0
1731696310.9936166,34.2
1731696311.1947975,31.7
1731696311.3960853,30.9
1731696311.597232,38.0
1731696311.7984357,28.6
1731696311.9996946,24.1
1731696312.2012784,7.9
1731696312.4042964,15.2
1731696312.6058655,8.9
1731696312.8087626,13.2
1731696313.0100389,21.8
1731696313.2112231,29.5
1731696313.412249,30.4
1731696313.6135173,85.4
1731696313.815105,82.7
1731696314.0166764,87.3
1731696314.2188451,98.8
1731696314.421385,88.8
1731696314.623178,80.2
1731696314.8282542,60.2
1731696315.0294724,44.4
1731696315.2307773,35.0
1731696315.4319794,38.0
1731696315.633262,29.9
1731696315.834546,38.2
1731696316.0358474,58.0
1731696316.2371235,36.7
1731696316.4382937,37.5
1731696316.6397104,39.0
1731696316.8410103,37.3
1731696317.0422556,47.4
1731696317.243538,32.9
1731696317.4447675,35.8
1731696317.646189,39.0
1731696317.8476632,37.5
1731696318.0489533,36.4
1731696318.2542663,55.0
1731696318.455591,36.8
1731696318.657311,37.5
1731696318.8587003,40.2
1731696319.0600996,35.0
1731696319.2620864,43.6
1731696319.4632754,45.6
1731696319.6646278,38.0
1731696319.8659027,37.0
1731696320.0672174,36.7
1731696320.268541,41.2
1731696320.4698548,49.4
1731696320.6711614,35.9
1731696320.8724897,37.2
1731696321.0738955,43.8
1731696321.2751992,43.7
1731696321.4765387,50.0
1731696321.6779585,37.2
1731696321.8792608,37.2
1731696322.0806768,40.0
1731696322.2819438,37.5
1731696322.4832864,51.9
1731696322.684611,39.5
1731696322.8861227,38.8
1731696323.0876467,36.4
1731696323.289121,36.8
1731696323.4906847,54.4
1731696323.692336,36.3
1731696323.8939545,39.0
1731696324.095216,38.0
1731696324.296483,42.0
1731696324.4976873,50.6
1731696324.6989388,34.2
1731696324.900261,39.5
1731696325.1015306,40.0
1731696325.3029525,40.2
1731696325.5042644,51.3
1731696325.7056582,35.5
1731696325.9068956,38.0
1731696326.1081743,38.0
1731696326.3094723,38.3
1731696326.510815,56.8
1731696326.7122962,38.8
1731696326.9135115,34.2
1731696327.1148164,35.9
1731696327.315986,36.2
1731696327.517204,54.4
1731696327.718287,39.0
1731696327.919641,36.7
1731696328.1208234,37.2
1731696328.3221302,34.2
