time,Width,Height,Center X,Center Y,PID X,PID Y,PID Depth
1731695752.5233395,18,17,167,324,100,-84.0,15.0
1731695752.5612247,20,17,166,324,100,-84.0,0.0
1731695752.5862496,19,18,165,325,100,-85.0,7.5
1731695752.618421,19,17,164,325,100,-85.0,7.5
1731695752.651062,20,17,164,326,100,-86.0,0.0
1731695752.686421,19,18,163,329,100,-89.0,7.5
1731695752.7180104,20,18,162,329,100,-89.0,0.0
1731695752.7520187,20,17,162,329,100,-89.0,0.0
1731695752.7866287,20,17,162,330,100,-90.0,0.0
1731695752.8179407,20,17,162,332,100,-92.0,0.0
1731695752.8514717,19,17,161,333,100,-93.0,7.5
1731695752.8864448,20,17,161,334,100,-94.0,0.0
1731695752.9187963,20,17,160,335,100,-95.0,0.0
1731695752.951613,20,17,160,337,100,-97.0,0.0
1731695752.9855812,20,17,160,338,100,-98.0,0.0
1731695753.0191422,20,17,160,339,100,-99.0,0.0
1731695753.0513968,20,17,160,340,100,-100.0,0.0
1731695753.08589,20,17,160,342,100,-100,0.0
1731695753.1182535,19,16,159,344,100,-100,7.5
1731695753.1514876,20,18,159,345,100,-100,0.0
1731695753.18698,20,17,158,345,100,-100,0.0
1731695753.2187493,20,17,158,347,100,-100,0.0
1731695753.252629,20,17,158,348,100,-100,0.0
1731695753.2867723,20,17,158,350,100,-100,0.0
1731695753.3185167,20,17,158,351,100,-100,0.0
1731695753.351918,18,17,157,353,100,-100,15.0
1731695753.387226,20,18,156,355,100,-100,0.0
1731695753.4194288,20,17,156,355,100,-100,0.0
1731695753.4592066,20,16,156,356,100,-100,0.0
1731695753.4901319,20,17,156,356,100,-100,0.0
1731695753.5180302,20,17,156,356,100,-100,0.0
1731695753.5525017,20,17,156,356,100,-100,0.0
1731695753.5871723,20,17,156,356,100,-100,0.0
1731695753.6186082,20,18,156,357,100,-100,0.0
1731695753.6537511,20,17,156,357,100,-100,0.0
1731695753.6868854,20,17,156,357,100,-100,0.0
1731695753.718255,20,17,156,357,100,-100,0.0
1731695753.751503,20,17,156,358,100,-100,0.0
1731695753.785641,20,17,156,358,100,-100,0.0
1731695753.819354,20,18,156,359,100,-100,0.0
1731695753.8523395,19,17,156,359,100,-100,7.5
1731695753.8864253,20,17,156,359,100,-100,0.0
1731695753.9190395,18,17,157,360,100,-100,15.0
1731695753.9511604,19,16,157,360,100,-100,7.5
1731695753.986172,19,16,157,361,100,-100,7.5
1731695754.0198152,20,17,158,361,100,-100,0.0
1731695754.051837,20,17,158,361,100,-100,0.0
1731695754.08612,19,18,159,361,100,-100,7.5
1731695754.118786,20,17,160,360,100,-100,0.0
1731695754.152372,18,17,161,360,100,-100,15.0
1731695754.185843,20,17,162,358,100,-100,0.0
1731695754.2178197,20,17,162,358,100,-100,0.0
1731695754.251884,19,17,163,357,100,-100,7.5
1731695754.2856781,19,17,164,357,100,-100,7.5
1731695754.3188322,19,17,165,356,100,-100,7.5
1731695754.3509905,18,16,167,356,100,-100,15.0
1731695754.385848,20,17,168,355,100,-100,0.0
1731695754.418123,19,17,168,354,100,-100,7.5
1731695754.4507747,20,17,170,352,100,-100,0.0
1731695754.4855502,19,17,171,351,100,-100,7.5
1731695754.5184247,20,17,172,349,100,-100,0.0
1731695754.5688274,20,17,174,348,100,-100,0.0
1731695754.5873213,18,17,175,347,100,-100,15.0
1731695754.621547,19,18,175,347,100,-100,7.5
1731695754.6503537,18,18,177,346,100,-100,15.0
1731695754.6858184,20,18,178,346,100,-100,0.0
1731695754.7198648,18,17,179,344,100,-100,15.0
1731695754.7527647,19,17,180,343,100,-100,7.5
1731695754.7877681,18,17,181,342,100,-100,15.0
1731695754.8194838,18,17,181,340,100,-100.0,15.0
1731695754.8514447,20,17,180,336,100,-96.0,0.0
1731695754.905194,19,17,179,333,100,-93.0,7.5
1731695754.9249604,19,18,179,331,100,-91.0,7.5
1731695754.9554582,20,18,180,329,100,-89.0,0.0
1731695754.9876232,18,18,181,328,100,-88.0,15.0
1731695755.01874,18,17,181,326,100,-86.0,15.0
1731695755.051083,20,18,182,326,100,-86.0,0.0
1731695755.0863352,19,18,183,325,100,-85.0,7.5
1731695755.118635,18,18,185,325,100,-85.0,15.0
1731695755.1524417,20,18,186,326,100,-86.0,0.0
1731695755.1866984,19,17,187,327,100,-87.0,7.5
1731695755.2182322,19,18,189,329,100,-89.0,7.5
1731695755.251742,18,18,191,330,100,-90.0,15.0
1731695755.2859097,18,17,193,330,100,-90.0,15.0
1731695755.3183248,18,18,195,331,100,-91.0,15.0
1731695755.352349,18,18,197,332,100,-92.0,15.0
1731695755.3861046,19,17,199,333,100,-93.0,7.5
1731695755.4184697,20,18,202,334,100,-94.0,0.0
1731695755.4502409,20,18,204,334,100,-94.0,0.0
1731695755.485871,18,18,207,335,100,-95.0,15.0
1731695755.5190678,19,18,209,336,100,-96.0,7.5
1731695755.5511544,19,18,211,337,100,-97.0,7.5
1731695755.5864797,20,17,214,336,100,-96.0,0.0
1731695755.6202328,18,18,217,336,100,-96.0,15.0
1731695755.6504896,18,18,219,337,100,-97.0,15.0
1731695755.6933777,18,17,221,337,99.0,-97.0,15.0
1731695755.7200828,19,18,223,337,97.0,-97.0,7.5
1731695755.7502959,20,17,226,337,94.0,-97.0,0.0
1731695755.7861326,20,17,228,337,92.0,-97.0,0.0
1731695755.8178227,19,18,230,337,90.0,-97.0,7.5
1731695755.853138,19,18,232,337,88.0,-97.0,7.5
1731695755.8870711,18,18,235,336,85.0,-96.0,15.0
1731695755.9192207,18,18,237,336,83.0,-96.0,15.0
1731695755.9518573,19,17,238,336,82.0,-96.0,7.5
1731695755.9872618,18,17,241,336,79.0,-96.0,15.0
1731695756.0194247,19,18,242,337,78.0,-97.0,7.5
1731695756.0542421,18,18,245,336,75.0,-96.0,15.0
1731695756.087115,19,18,246,336,74.0,-96.0,7.5
1731695756.1197677,20,17,248,335,72.0,-95.0,0.0
1731695756.1510057,20,18,250,335,70.0,-95.0,0.0
1731695756.1865237,20,18,252,335,68.0,-95.0,0.0
1731695756.219719,19,18,253,334,67.0,-94.0,7.5
1731695756.252435,18,17,255,333,65.0,-93.0,15.0
1731695756.2865167,18,17,257,332,63.0,-92.0,15.0
1731695756.3191426,18,17,259,333,61.0,-93.0,15.0
1731695756.3499792,19,17,260,333,60.0,-93.0,7.5
1731695756.3869488,20,18,262,334,58.0,-94.0,0.0
1731695756.4199603,19,16,263,334,57.0,-94.0,7.5
1731695756.4523482,18,17,265,333,55.0,-93.0,15.0
1731695756.4869404,18,16,267,333,53.0,-93.0,15.0
1731695756.5191767,18,17,269,332,51.0,-92.0,15.0
1731695756.550674,18,17,271,332,49.0,-92.0,15.0
1731695756.585856,19,16,272,333,48.0,-93.0,7.5
1731695756.6195908,20,17,274,333,46.0,-93.0,0.0
1731695756.6516814,18,18,275,334,45.0,-94.0,15.0
1731695756.687777,18,18,277,334,43.0,-94.0,15.0
1731695756.7200174,18,17,279,334,41.0,-94.0,15.0
1731695756.7561324,18,17,281,334,39.0,-94.0,15.0
1731695756.7878032,19,17,282,334,38.0,-94.0,7.5
1731695756.821604,18,17,283,333,37.0,-93.0,15.0
1731695756.8536434,18,17,285,332,35.0,-92.0,15.0
1731695756.8874803,18,15,287,330,33.0,-90.0,15.0
1731695756.9218996,18,17,289,329,31.0,-89.0,15.0
1731695756.951314,18,16,291,329,29.0,-89.0,15.0
1731695756.986507,18,17,293,328,27.0,-88.0,15.0
1731695757.0187223,17,17,293,328,27.0,-88.0,22.5
1731695757.051619,17,16,295,328,25.0,-88.0,22.5
1731695757.0862212,18,16,297,329,23.0,-89.0,15.0
1731695757.1200848,17,17,299,329,21.0,-89.0,22.5
1731695757.152642,18,16,301,330,19.0,-90.0,15.0
1731695757.1862352,18,16,303,330,17.0,-90.0,15.0
1731695757.2188702,18,17,305,329,15.0,-89.0,15.0
1731695757.2524672,18,16,307,329,13.0,-89.0,15.0
1731695757.28608,18,17,309,328,11.0,-88.0,15.0
1731695757.3190758,18,17,311,328,9.0,-88.0,15.0
1731695757.3509972,18,17,313,327,7.0,-87.0,15.0
1731695757.3859134,18,16,315,326,5.0,-86.0,15.0
1731695757.41906,18,17,317,325,3.0,-85.0,15.0
1731695757.4515243,18,17,319,325,1.0,-85.0,15.0
1731695757.4861755,18,17,320,325,0.0,-85.0,15.0
1731695757.5201657,18,16,321,326,-1.0,-86.0,15.0
1731695757.5513656,18,16,323,326,-3.0,-86.0,15.0
1731695757.5862114,17,16,324,326,-4.0,-86.0,22.5
1731695757.619807,18,16,325,326,-5.0,-86.0,15.0
1731695757.650785,18,17,327,325,-7.0,-85.0,15.0
