Timestamp,CPU Usage (%)
1731698588.4284122,26.0
1731698588.6315498,2.6
1731698588.8345118,5.1
1731698589.0373285,12.7
1731698589.2390606,6.4
1731698589.4416223,8.9
1731698589.6431444,6.6
1731698589.8443584,8.9
1731698590.0455675,9.0
1731698590.2470062,10.4
1731698590.4481726,30.8
1731698590.649303,29.1
1731698590.850507,29.1
1731698591.0517166,40.5
1731698591.2526953,30.4
1731698591.4537919,12.8
1731698591.6549401,19.2
1731698591.8561628,6.5
1731698592.0574005,7.7
1731698592.2589526,20.5
1731698592.461663,24.1
1731698592.6627104,30.4
1731698592.8667738,32.5
1731698593.0683835,92.5
1731698593.269764,81.5
1731698593.4758208,90.1
1731698593.684413,97.6
1731698593.8870003,75.0
1731698594.0884824,64.1
1731698594.289719,32.1
1731698594.490981,37.0
1731698594.6924887,47.5
1731698594.8951705,60.5
1731698595.0964959,36.7
1731698595.2977448,34.6
1731698595.4990182,36.8
1731698595.700255,37.5
1731698595.9017808,51.9
1731698596.102989,37.8
1731698596.3041277,35.1
1731698596.5053172,36.7
1731698596.7065406,35.1
1731698596.9078074,39.5
1731698597.1094346,55.6
1731698597.3111384,37.5
1731698597.512355,38.3
1731698597.7135863,36.4
1731698597.915149,35.9
1731698598.1165519,51.9
1731698598.3177385,35.8
1731698598.5190012,38.3
1731698598.720218,37.2
1731698598.921413,37.2
1731698599.1226745,53.9
1731698599.323951,39.0
1731698599.5252633,38.3
1731698599.7265196,38.3
1731698599.927746,35.0
1731698600.1289544,40.3
1731698600.3301418,53.2
1731698600.5314395,36.7
1731698600.7327425,38.0
1731698600.933988,39.0
1731698601.1352103,35.9
1731698601.3365095,35.1
1731698601.5377612,55.1
1731698601.7390919,31.6
1731698601.9407048,35.4
1731698602.1419697,35.0
1731698602.343432,36.7
1731698602.5470746,35.9
1731698602.7484045,52.6
1731698602.9496531,39.0
1731698603.1510253,39.0
1731698603.3522084,37.5
1731698603.5534482,37.2
1731698603.754753,55.8
1731698603.9559922,35.9
1731698604.157225,38.0
1731698604.358488,38.3
1731698604.559728,37.0
1731698604.7609704,56.4
1731698604.9623528,32.5
1731698605.1637335,36.4
1731698605.364734,39.0
1731698605.5657654,39.0
1731698605.766745,36.7
1731698605.9680817,50.0
1731698606.1693919,35.5
1731698606.370649,36.4
1731698606.5717597,39.0
1731698606.7730541,37.5
1731698606.976769,47.0
1731698607.1780927,42.9
1731698607.379601,35.1
1731698607.5819016,38.7
1731698607.783059,36.3
1731698607.9843302,39.0
1731698608.1857445,55.0
1731698608.386737,38.0
1731698608.588,37.2
1731698608.789148,36.7
1731698608.9903672,39.8
1731698609.1915753,38.3
1731698609.3927238,58.8
1731698609.5937483,35.9
1731698609.795024,35.9
1731698609.99642,32.9
1731698610.197736,38.0
1731698610.3987525,39.8
1731698610.6000414,57.5
1731698610.8012888,38.5
1731698611.0024726,35.9
1731698611.20374,35.9
1731698611.4049726,34.6
1731698611.606187,57.5
1731698611.8073761,33.8
1731698612.0085433,32.1
1731698612.2097383,35.1
1731698612.4107366,31.2
1731698612.6119742,62.0
1731698612.8131917,38.3
1731698613.0145988,38.3
1731698613.2157574,36.3
1731698613.4171937,36.4
