time,Width,Height,Center X,Center Y,PID X,PID Y,PID Depth
1731698494.947078,16,15,228,319,92.0,-79.0,60.0
1731698494.9830022,16,15,228,319,92.0,-79.0,60.0
1731698495.011161,16,15,228,319,92.0,-79.0,60.0
1731698495.044184,16,16,228,320,92.0,-80.0,60.0
1731698495.0792296,16,15,228,320,92.0,-80.0,60.0
1731698495.1147082,16,16,228,321,92.0,-81.0,60.0
1731698495.148034,16,14,228,322,92.0,-82.0,60.0
1731698495.1791909,16,15,228,322,92.0,-82.0,60.0
1731698495.2116616,16,15,228,322,92.0,-82.0,60.0
1731698495.2439847,16,15,228,321,92.0,-81.0,60.0
1731698495.2793653,14,14,225,324,95.0,-84.0,75.0
1731698495.3118682,14,13,225,324,95.0,-84.0,75.0
1731698495.3432648,14,13,225,324,95.0,-84.0,75.0
1731698495.3792946,14,13,225,325,95.0,-85.0,75.0
1731698495.4128866,14,14,225,325,95.0,-85.0,75.0
1731698495.4431608,13,13,225,324,95.0,-84.0,82.5
1731698495.4798431,14,13,225,325,95.0,-85.0,75.0
1731698495.511239,14,12,225,326,95.0,-86.0,75.0
1731698495.5442007,14,12,225,325,95.0,-85.0,75.0
1731698495.579579,12,11,226,325,94.0,-85.0,90.0
1731698495.6110158,11,11,225,326,95.0,-86.0,97.5
1731698495.64352,12,10,226,327,94.0,-87.0,90.0
1731698495.679439,11,12,226,327,94.0,-87.0,97.5
1731698495.7116516,11,10,226,328,94.0,-88.0,97.5
1731698495.7439146,9,9,226,329,94.0,-89.0,100
1731698495.778995,8,9,228,328,92.0,-88.0,100
1731698495.8117301,11,11,228,328,92.0,-88.0,97.5
1731698495.8439403,6,8,229,330,91.0,-90.0,100
1731698495.8792374,6,6,229,330,91.0,-90.0,100
1731698495.9123032,8,10,228,323,92.0,-83.0,100
1731698495.9436734,10,12,225,314,95.0,-74.0,100
1731698495.9793162,10,10,221,305,99.0,-65.0,100
1731698496.0112796,10,10,219,297,100,-57.0,100
1731698496.0425167,12,11,218,290,100,-50.0,90.0
1731698496.0786183,12,11,218,284,100,-44.0,90.0
1731698496.110602,14,12,219,280,100,-40.0,75.0
1731698496.1425562,13,12,215,278,100,-38.0,82.5
1731698496.1784918,12,12,214,276,100,-36.0,90.0
1731698496.2105472,13,12,215,274,100,-34.0,82.5
1731698496.2424915,14,12,215,273,100,-33.0,75.0
1731698496.2786689,14,13,215,272,100,-32.0,75.0
1731698496.3106966,14,14,215,272,100,-32.0,75.0
1731698496.3574226,12,11,214,273,100,-33.0,90.0
1731698496.3807957,11,12,213,274,100,-34.0,97.5
1731698496.4126081,10,10,213,275,100,-35.0,100
1731698496.4472308,11,11,212,276,100,-36.0,97.5
1731698496.4801414,11,10,213,276,100,-36.0,97.5
1731698496.5109653,12,11,214,275,100,-35.0,90.0
1731698496.542553,12,13,216,274,100,-34.0,90.0
1731698496.5824494,14,12,217,273,100,-33.0,75.0
1731698496.6131847,14,12,217,273,100,-33.0,75.0
1731698496.6460667,15,13,217,272,100,-32.0,67.5
1731698496.6787255,14,13,219,273,100,-33.0,75.0
1731698496.710888,15,12,220,275,100.0,-35.0,67.5
1731698496.7428463,15,13,221,276,99.0,-36.0,67.5
1731698496.7785516,16,15,224,277,96.0,-37.0,60.0
1731698496.8108332,16,14,226,279,94.0,-39.0,60.0
1731698496.8432388,14,14,227,280,93.0,-40.0,75.0
1731698496.8787012,16,14,228,281,92.0,-41.0,60.0
1731698496.9116704,16,15,230,282,90.0,-42.0,60.0
1731698496.9433815,16,15,232,283,88.0,-43.0,60.0
1731698496.9786263,16,14,234,284,86.0,-44.0,60.0
1731698497.0110624,16,15,236,284,84.0,-44.0,60.0
