Timestamp,CPU Usage (%)
1731694415.5778284,16.3
1731694415.7793503,12.5
1731694415.9809234,7.5
1731694416.183915,17.5
1731694416.3865354,10.1
1731694416.5896351,5.2
1731694416.7928612,4.0
1731694416.995179,11.4
1731694417.1965818,8.6
1731694417.3992934,6.4
1731694417.6004708,9.1
1731694417.8017128,30.4
1731694418.0029092,36.1
1731694418.2041755,26.6
1731694418.4054615,22.8
1731694418.6067376,37.2
1731694418.8080013,32.5
1731694419.0092776,11.4
1731694419.2105417,6.3
1731694419.4118845,5.2
1731694419.6136444,16.5
1731694419.8152819,25.6
1731694420.016611,30.9
1731694420.2178383,28.2
1731694420.4192567,51.9
1731694420.6205707,73.1
1731694420.8219907,75.6
1731694421.0232675,67.9
1731694421.2254136,91.1
1731694421.4275155,80.2
1731694421.6288705,71.8
1731694421.8302903,35.5
1731694422.031855,39.2
1731694422.2342641,43.2
1731694422.4355967,55.1
1731694422.6370711,39.2
1731694422.83829,35.9
1731694423.0394773,43.2
1731694423.2408805,36.2
1731694423.4421473,53.2
1731694423.643267,36.7
1731694423.8445208,38.0
1731694424.0458214,37.5
1731694424.2471166,37.8
1731694424.448262,39.5
1731694424.6496253,55.0
1731694424.850956,35.1
1731694425.0525582,35.1
1731694425.2540112,37.5
1731694425.4552794,39.5
1731694425.659285,45.6
1731694425.8606718,44.9
1731694426.0619678,35.9
1731694426.263272,39.0
1731694426.4645581,38.3
1731694426.6658657,42.3
1731694426.8678234,46.8
1731694427.0692506,33.3
1731694427.2702901,38.3
1731694427.4716353,39.5
1731694427.6728802,41.8
1731694427.8741128,50.0
1731694428.0752728,33.8
1731694428.2766,38.7
1731694428.4780064,32.9
1731694428.6794372,37.5
1731694428.8809056,53.9
1731694429.0822031,38.3
1731694429.2835267,39.8
1731694429.484958,39.0
1731694429.686246,38.7
1731694429.8872674,53.8
1731694430.0889578,34.6
1731694430.2901652,34.2
1731694430.4915645,37.8
1731694430.6928623,39.5
1731694430.8942282,41.6
1731694431.0955732,45.5
1731694431.2968976,32.5
1731694431.4982345,34.6
1731694431.6993527,38.3
1731694431.9006143,25.6
1731694432.1021311,54.4
1731694432.3032515,35.9
1731694432.5044808,37.8
1731694432.7057538,39.0
1731694432.9069352,35.9
1731694433.1082344,58.2
1731694433.3092852,36.4
1731694433.5105011,38.3
1731694433.7118707,40.2
1731694433.9131322,36.7
1731694434.1150181,41.0
1731694434.3162577,50.6
1731694434.5172672,34.6
1731694434.7184792,40.2
1731694434.9197402,35.9
1731694435.1211274,35.4
1731694435.322602,58.4
1731694435.5239236,38.3
1731694435.7251475,36.7
1731694435.9265347,38.7
1731694436.127804,36.3
1731694436.3290775,36.7
1731694436.5302665,37.5
1731694436.7317193,38.3
1731694436.933628,57.7
1731694437.135122,34.2
1731694437.3363779,35.9
1731694437.5377865,35.9
1731694437.738977,36.7
1731694437.940245,57.0
1731694438.1416953,38.0
1731694438.3429215,35.5
1731694438.5442073,35.1
1731694438.7454727,38.3
1731694438.9482691,52.4
1731694439.1495776,41.8
1731694439.3508372,36.7
1731694439.5520272,35.1
1731694439.7532678,38.0
1731694439.9545329,40.5
1731694440.1557033,56.3
1731694440.3570583,36.7
1731694440.5582607,36.4
1731694440.7595756,38.3
1731694440.9608452,38.3
1731694441.1621447,56.8
1731694441.363611,37.5
1731694441.5649245,36.4
1731694441.7662055,39.0
1731694441.967711,37.3
1731694442.1692102,58.0
1731694442.3714707,35.0
1731694442.572783,36.3
1731694442.7740018,36.7
1731694442.9752586,40.2
1731694443.1772857,53.1
1731694443.3787456,38.5
1731694443.579958,36.4
1731694443.7812686,37.5
1731694443.9825292,38.8
1731694444.1852696,47.6
1731694444.3866022,43.2
1731694444.587918,32.1
1731694444.7891376,32.9
1731694444.9905288,38.7
1731694445.1919284,39.5
1731694445.3932316,54.3
1731694445.5947735,32.5
1731694445.795989,33.8
1731694445.9972572,36.3
1731694446.1985629,40.2
1731694446.3997874,55.6
1731694446.6009796,32.9
1731694446.8022308,30.8
1731694447.003843,33.3
1731694447.2062745,39.5
1731694447.4076471,39.0
1731694447.6093125,51.2
1731694447.8107781,30.8
1731694448.0120997,33.3
1731694448.213337,39.5
1731694448.4145598,37.8
1731694448.6159053,38.7
1731694448.8172073,57.5
1731694449.0184803,36.7
1731694449.219744,35.9
1731694449.4211442,39.5
1731694449.6223123,39.0
1731694449.8236063,42.9
1731694450.0249493,49.4
1731694450.226163,17.1
1731694450.427313,32.5
1731694450.6285393,38.3
1731694450.829848,38.7
1731694451.0311086,34.6
1731694451.2323155,51.3
1731694451.433637,38.3
1731694451.6349242,39.2
1731694451.836125,39.0
1731694452.0372639,35.9
1731694452.2388403,56.4
1731694452.4408224,32.5
1731694452.642307,37.0
1731694452.8437471,37.5
1731694453.044927,37.5
1731694453.246281,32.9
1731694453.447673,47.5
1731694453.648962,39.5
1731694453.850246,35.4
1731694454.0516837,38.7
1731694454.2529883,37.2
1731694454.454266,55.0
1731694454.6555796,37.7
1731694454.8568964,39.8
1731694455.058227,38.3
1731694455.2593045,34.6
1731694455.4607213,39.0
1731694455.6620688,55.6
1731694455.863265,39.0
1731694456.0646079,38.7
1731694456.265971,37.5
1731694456.4672532,43.0
1731694456.6685205,50.6
1731694456.8699598,38.3
1731694457.0713003,37.0
1731694457.2725239,35.0
1731694457.473926,35.1
1731694457.6755211,55.8
1731694457.8771386,37.5
1731694458.0785694,39.5
1731694458.2797263,38.7
1731694458.4809077,37.5
1731694458.682258,50.6
1731694458.8832664,38.7
1731694459.0846603,37.8
1731694459.28598,38.8
1731694459.4872835,34.6
1731694459.688542,54.5
1731694459.8898633,38.3
1731694460.09126,40.2
1731694460.292247,38.3
1731694460.4933207,35.0
1731694460.694687,52.6
1731694460.895959,34.6
1731694461.0972276,37.5
1731694461.298256,37.5
1731694461.4995446,38.8
1731694461.7010915,51.3
1731694461.9032776,38.0
1731694462.104589,38.5
1731694462.3057976,39.5
1731694462.507027,38.3
1731694462.7082834,57.5
1731694462.9103305,37.2
1731694463.1118462,34.7
1731694463.3138142,38.7
1731694463.515089,39.8
1731694463.7162628,55.7
1731694463.9175072,38.0
1731694464.1187236,35.1
1731694464.3199565,37.5
1731694464.521176,39.5
1731694464.7224853,58.0
1731694464.9237504,37.5
1731694465.1249452,35.1
1731694465.326281,37.5
1731694465.5275755,39.0
1731694465.7288022,56.8
1731694465.9305446,38.0
1731694466.1317916,37.2
1731694466.3329778,37.5
1731694466.534249,37.5
1731694466.735674,44.6
1731694466.9369264,48.7
1731694467.138169,35.9
1731694467.3392537,35.9
1731694467.5404935,32.9
1731694467.7417715,37.8
1731694467.9432526,41.8
1731694468.144337,48.8
1731694468.3457396,35.5
1731694468.5470383,33.8
1731694468.7486196,35.0
1731694468.9522002,47.0
1731694469.1535044,48.1
1731694469.35467,37.2
1731694469.5560217,34.2
1731694469.7572885,37.5
1731694469.9583123,36.6
1731694470.159523,53.2
1731694470.3607852,41.0
1731694470.5621314,35.9
1731694470.7632713,38.3
1731694470.9644988,37.8
1731694471.165937,37.5
1731694471.3673017,53.7
1731694471.5685904,41.8
1731694471.769826,37.2
1731694471.971029,39.0
1731694472.1722567,44.4
1731694472.3736203,56.2
1731694472.575061,37.2
1731694472.7762752,35.9
1731694472.977511,37.5
1731694473.179008,40.2
1731694473.3802028,63.8
1731694473.5815127,37.5
1731694473.7828808,36.4
1731694473.9843092,44.3
1731694474.185763,40.0
1731694474.3871748,59.3
1731694474.5884702,42.7
1731694474.789756,35.1
1731694474.990945,40.0
1731694475.1922119,36.7
1731694475.393264,50.6
1731694475.5942748,38.0
1731694475.7955728,37.5
1731694475.9968731,43.4
1731694476.1980865,33.7
1731694476.3997488,55.6
1731694476.6021605,41.5
1731694476.8032522,36.7
1731694477.0042913,41.0
1731694477.2056458,35.9
1731694477.4073515,57.8
1731694477.6091607,43.2
1731694477.8102648,38.0
1731694478.0115287,35.9
1731694478.212778,38.0
1731694478.4141958,45.1
1731694478.615253,58.0
1731694478.8162775,37.8
1731694479.0177739,36.2
1731694479.2193527,37.2
1731694479.4209733,37.5
1731694479.6221728,53.7
1731694479.823274,37.5
1731694480.0242994,36.7
1731694480.2255101,32.1
1731694480.4268022,42.9
1731694480.628077,66.3
1731694480.8292634,38.3
1731694481.0304239,39.0
1731694481.2319732,35.9
1731694481.4332983,44.9
1731694481.634642,57.0
1731694481.8361464,39.0
1731694482.0373054,39.0
1731694482.2385468,38.0
1731694482.439859,39.0
1731694482.6411922,60.8
1731694482.842294,34.6
1731694483.043274,39.0
1731694483.2445188,38.0
1731694483.4458332,30.3
1731694483.6470592,62.0
1731694483.849001,39.5
1731694484.0502617,39.0
1731694484.2515104,39.8
1731694484.4529479,38.0
1731694484.6542797,58.2
1731694484.855891,37.0
1731694485.0572815,38.3
1731694485.2585695,37.0
1731694485.4597409,37.5
1731694485.6613212,52.6
1731694485.8627737,50.6
1731694486.064053,37.5
1731694486.265279,40.2
1731694486.4666429,38.3
1731694486.6678898,46.8
1731694486.8711994,55.7
1731694487.0723066,35.1
1731694487.273566,38.3
1731694487.4750016,38.0
1731694487.6763272,37.5
1731694487.8779025,41.3
1731694488.0792968,63.8
1731694488.2805877,38.0
1731694488.4818635,37.8
1731694488.6832457,36.7
1731694488.8845322,35.9
1731694489.0857904,56.4
1731694489.2893968,56.1
1731694489.4928792,58.8
1731694489.6942315,63.8
1731694489.8954568,62.0
1731694490.0978975,78.7
1731694490.3013394,73.2
1731694490.5027766,54.4
1731694490.7042277,58.8
1731694490.9054942,39.5
1731694491.108253,48.1
1731694491.3092663,62.0
1731694491.5105646,52.5
1731694491.7117908,46.3
1731694491.913036,48.7
1731694492.1142411,44.2
1731694492.3152995,59.5
1731694492.516897,65.0
1731694492.718232,48.8
1731694492.9195147,48.1
1731694493.1209176,48.7
1731694493.3222373,51.9
1731694493.5240123,64.1
1731694493.7257175,53.7
1731694493.9272923,55.6
1731694494.128822,44.3
1731694494.3301327,50.6
1731694494.5313034,76.9
1731694494.7326255,53.7
1731694494.9339175,53.1
1731694495.1351364,48.8
1731694495.3362565,49.4
1731694495.5375564,69.1
1731694495.7389302,47.5
1731694495.9401214,40.0
1731694496.1413808,45.0
1731694496.342822,45.0
1731694496.54407,71.6
1731694496.745543,60.0
1731694496.947101,46.2
1731694497.1482837,47.0
1731694497.3495426,43.7
1731694497.551025,70.1
1731694497.7527866,47.5
1731694497.954018,46.9
1731694498.155222,47.5
1731694498.3571386,48.7
1731694498.5620608,72.8
1731694498.763622,67.5
1731694498.965965,50.0
1731694499.1672683,45.7
1731694499.3687422,46.4
1731694499.5703127,68.3
1731694499.771618,48.7
1731694499.9728866,51.3
1731694500.1741283,46.2
1731694500.3753061,50.6
1731694500.5782084,67.5
1731694500.7795558,66.3
1731694500.9809036,47.5
1731694501.1821384,46.8
1731694501.3836777,46.2
1731694501.5849223,69.9
1731694501.7866166,47.5
1731694501.9879253,42.3
1731694502.189731,41.6
1731694502.3919683,48.1
1731694502.5932534,47.5
1731694502.7949378,72.5
1731694502.9969964,46.2
1731694503.198467,44.7
1731694503.3997042,49.4
1731694503.6011593,45.6
1731694503.8028023,82.3
1731694504.0042636,61.3
1731694504.2057352,44.7
1731694504.4070199,46.8
1731694504.6083128,47.5
1731694504.809878,60.5
1731694505.0115242,46.2
1731694505.2127962,43.6
1731694505.4142206,44.2
1731694505.6152737,47.4
1731694505.8167117,75.0
1731694506.018343,50.0
1731694506.2196734,46.8
1731694506.422936,46.8
1731694506.6248026,45.5
1731694506.8260078,65.0
1731694507.0273168,49.4
1731694507.228648,46.2
1731694507.4301777,44.9
1731694507.631308,43.4
1731694507.8362803,46.8
1731694508.0375888,69.1
1731694508.2389336,49.4
1731694508.440255,47.4
1731694508.6415918,44.7
1731694508.8428383,55.0
1731694509.0440419,49.4
1731694509.2453003,77.8
1731694509.4466121,53.8
1731694509.647913,46.2
1731694509.8492875,52.6
1731694510.0507736,43.7
1731694510.2520132,72.0
1731694510.453398,48.7
1731694510.654864,46.8
1731694510.856256,46.2
1731694511.0587595,46.2
1731694511.2604694,48.1
1731694511.4619455,70.7
1731694511.6631105,45.5
1731694511.8642628,47.4
1731694512.0657535,45.5
1731694512.267839,48.1
1731694512.4693284,70.4
1731694512.6705563,48.7
1731694512.8718112,46.2
1731694513.0731745,42.1
1731694513.2742572,45.6
1731694513.4782574,64.6
1731694513.6793134,51.2
1731694513.8806217,53.8
1731694514.082078,45.5
1731694514.2832978,46.8
1731694514.4845119,44.9
1731694514.6858935,72.5
1731694514.8872564,53.7
1731694515.0884888,46.8
1731694515.2903981,45.6
1731694515.4936283,47.5
1731694515.69482,70.7
1731694515.8960967,65.4
1731694516.0972445,46.2
1731694516.2982454,48.1
1731694516.4996288,46.2
1731694516.7010708,64.6
1731694516.9022992,58.0
1731694517.1047406,50.6
1731694517.3061225,45.5
1731694517.5072393,44.9
1731694517.7082562,44.2
1731694517.9095418,72.8
1731694518.1107495,48.1
1731694518.3120167,43.8
1731694518.513249,46.8
1731694518.7144203,46.1
1731694518.9156315,70.7
1731694519.1172543,64.2
1731694519.3184795,47.5
1731694519.5198183,47.4
1731694519.7222805,45.5
1731694519.9234858,60.5
1731694520.1250765,67.5
1731694520.3277643,48.7
1731694520.5290163,48.7
1731694520.7302613,47.5
1731694520.9315586,58.2
1731694521.1350033,66.3
1731694521.33625,48.1
1731694521.5375488,46.2
1731694521.7391624,47.4
1731694521.9406679,48.7
1731694522.1419756,74.4
1731694522.3432677,57.5
1731694522.5447066,50.0
1731694522.7459514,46.8
1731694522.947183,47.5
1731694523.1486876,73.4
1731694523.3499315,47.0
1731694523.5512273,48.8
1731694523.752596,50.0
1731694523.9540753,50.6
1731694524.1554499,75.0
1731694524.3568182,59.3
1731694524.5600054,50.6
1731694524.7645059,48.8
1731694524.965768,56.1
1731694525.1670952,70.5
1731694525.3682892,49.4
1731694525.570155,47.6
1731694525.7713215,49.4
1731694525.9728427,47.4
1731694526.1743202,77.2
1731694526.375626,56.4
1731694526.5768375,47.5
1731694526.7781236,48.7
1731694526.9793034,49.4
1731694527.1809244,72.5
1731694527.3822455,43.4
1731694527.5832732,48.1
1731694527.784618,66.7
1731694527.9859607,70.9
1731694528.1874626,72.5
1731694528.391211,72.2
1731694528.5954642,75.3
1731694528.8024552,95.2
1731694529.0037608,62.5
1731694529.2049208,65.4
1731694529.4062698,64.6
1731694529.609602,76.3
1731694529.811642,79.0
1731694530.0133471,58.8
1731694530.2148774,51.2
