time,Width,Height,Center X,Center Y,PID X,PID Y,PID Depth
1731694491.8645916,6,2,305,317,15.0,-77.0,100
1731694491.900324,8,8,304,319,16.0,-79.0,90.0
1731694491.9231358,8,8,302,319,18.0,-79.0,90.0
1731694491.962196,10,9,301,318,19.0,-78.0,75.0
1731694491.9924986,12,11,300,318,20.0,-78.0,60.0
1731694492.0226038,12,11,300,318,20.0,-78.0,60.0
1731694492.061401,14,11,299,319,21.0,-79.0,45.0
1731694492.0930688,14,12,297,319,23.0,-79.0,45.0
1731694492.1249545,16,12,296,319,24.0,-79.0,30.0
1731694492.162371,14,12,295,320,25.0,-80.0,45.0
1731694492.1935556,14,13,295,318,25.0,-78.0,45.0
1731694492.2226348,14,14,295,317,25.0,-77.0,45.0
1731694492.2667174,16,15,294,314,26.0,-74.0,30.0
1731694492.2943327,18,16,293,312,27.0,-72.0,15.0
1731694492.3224056,16,16,294,311,26.0,-71.0,30.0
1731694492.3579054,18,16,291,309,29.0,-69.0,15.0
1731694492.4009383,18,17,291,307,29.0,-67.0,15.0
1731694492.4241748,19,17,290,304,30.0,-64.0,7.5
1731694492.4625223,19,18,289,302,31.0,-62.0,7.5
1731694492.4904544,18,17,289,299,31.0,-59.0,15.0
1731694492.5225039,18,16,289,297,31.0,-57.0,15.0
1731694492.5613775,18,17,289,294,31.0,-54.0,15.0
1731694492.5913427,18,17,288,292,32.0,-52.0,15.0
1731694492.6225,16,15,288,291,32.0,-51.0,30.0
1731694492.6621883,18,15,287,290,33.0,-50.0,15.0
1731694492.6932423,16,16,287,290,33.0,-50.0,30.0
1731694492.7231824,15,15,287,288,33.0,-48.0,37.5
1731694492.7592106,17,17,286,286,34.0,-46.0,22.5
1731694492.7907405,16,16,286,285,34.0,-45.0,30.0
1731694492.824241,10,10,287,283,33.0,-43.0,75.0
1731694492.8616734,8,7,288,281,32.0,-41.0,90.0
1731694492.890744,12,9,286,278,34.0,-38.0,60.0
1731694492.9259477,14,14,285,277,35.0,-37.0,45.0
1731694492.958929,16,16,286,275,34.0,-35.0,30.0
1731694492.9929497,12,13,286,275,34.0,-35.0,60.0
1731694493.0225263,8,5,286,275,34.0,-35.0,90.0
1731694493.0909634,12,11,286,270,34.0,-30.0,60.0
1731694493.1223958,10,10,285,270,35.0,-30.0,75.0
1731694493.160737,12,14,286,266,34.0,-26.0,60.0
1731694493.1900263,14,13,285,265,35.0,-25.0,45.0
1731694493.2226422,14,12,285,264,35.0,-24.0,45.0
1731694493.2580612,14,9,285,263,35.0,-23.0,45.0
1731694493.2921555,13,12,285,263,35.0,-23.0,52.5
1731694493.3261793,12,11,286,263,34.0,-23.0,60.0
1731694493.359645,12,11,286,262,34.0,-22.0,60.0
1731694493.3914251,10,11,285,261,35.0,-21.0,75.0
1731694493.426105,10,11,285,259,35.0,-19.0,75.0
1731694493.4620035,14,14,285,258,35.0,-18.0,45.0
1731694493.4906754,16,14,284,256,36.0,-16.0,30.0
1731694493.5217226,14,13,285,255,35.0,-15.0,45.0
1731694493.561558,14,14,285,254,35.0,-14.0,45.0
1731694493.5899618,14,13,285,253,35.0,-13.0,45.0
1731694493.6224303,15,15,285,253,35.0,-13.0,37.5
1731694493.6585977,12,9,286,252,34.0,-12.0,60.0
1731694493.689851,10,10,287,253,33.0,-13.0,75.0
1731694493.7274632,13,14,285,251,35.0,-11.0,52.5
1731694493.758505,12,14,286,250,34.0,-10.0,60.0
1731694493.7898424,14,13,287,248,33.0,-8.0,45.0
1731694493.8217876,12,13,286,246,34.0,-6.0,60.0
1731694493.8601804,14,14,287,245,33.0,-5.0,45.0
