Timestamp,CPU Usage (%)
1731697333.2274437,25.3
1731697333.430356,6.2
1731697333.633538,6.4
1731697333.8368075,9.0
1731697334.0388634,8.9
1731697334.240254,11.4
1731697334.441592,10.3
1731697334.643167,9.2
1731697334.845956,8.0
1731697335.0471618,18.5
1731697335.2482545,32.1
1731697335.449552,29.1
1731697335.650777,29.1
1731697335.852077,38.5
1731697336.0532215,37.3
1731697336.2543755,19.8
1731697336.4561791,10.3
1731697336.658941,5.3
1731697336.8602874,12.8
1731697337.0616324,22.5
1731697337.262867,30.9
1731697337.464124,29.1
1731697337.6661277,69.6
1731697337.8676658,84.6
1731697338.0717506,84.3
1731697338.2731216,67.1
1731697338.474297,23.1
1731697338.6757097,82.1
1731697338.876987,49.4
1731697339.078209,30.4
1731697339.2794836,37.3
1731697339.4806066,43.0
1731697339.6835935,48.1
1731697339.8849046,36.7
1731697340.0861695,32.1
1731697340.2872863,38.6
1731697340.4886932,35.0
1731697340.6902401,37.5
1731697340.892968,52.6
1731697341.0946126,38.3
1731697341.296277,41.5
1731697341.4975305,42.7
1731697341.698863,40.5
1731697341.900186,41.8
1731697342.1017096,50.0
1731697342.3030128,35.0
1731697342.504439,30.5
1731697342.706261,34.2
1731697342.9074852,41.0
1731697343.1089005,44.3
1731697343.3102813,38.8
1731697343.5115674,39.0
1731697343.7127647,37.5
1731697343.913984,35.9
1731697344.1152725,55.8
1731697344.316615,35.4
1731697344.5179346,31.7
1731697344.7192605,37.5
1731697344.920558,33.8
1731697345.121743,53.8
1731697345.3230896,37.5
1731697345.5245621,39.0
1731697345.7260993,38.7
1731697345.9277117,44.3
1731697346.1291463,38.0
1731697346.3302753,42.3
1731697346.531554,37.8
1731697346.7329092,39.0
1731697346.934123,40.3
1731697347.1353035,37.5
1731697347.336563,55.6
1731697347.5378041,39.0
1731697347.7390118,37.5
1731697347.9402242,35.9
1731697348.141611,35.9
1731697348.3429358,50.6
1731697348.5442522,37.8
1731697348.7455313,39.0
1731697348.9468012,37.5
1731697349.1480026,33.3
1731697349.349235,37.0
1731697349.5505238,55.0
1731697349.7517548,39.0
1731697349.9529364,37.5
1731697350.154175,36.7
1731697350.3552532,37.5
1731697350.556525,53.1
1731697350.7578638,42.2
1731697350.9591687,39.0
1731697351.1603184,36.4
1731697351.361732,37.2
1731697351.5632896,54.3
1731697351.7646964,41.2
1731697351.965918,39.0
1731697352.167177,37.5
1731697352.3682656,34.2
1731697352.5709498,51.8
1731697352.7722847,39.5
1731697352.9735618,39.8
1731697353.1748319,35.0
1731697353.3761263,35.1
1731697353.57779,50.6
1731697353.7791266,45.1
1731697353.9802556,41.0
1731697354.181261,38.0
1731697354.3824832,35.9
1731697354.5837712,37.2
1731697354.7852058,56.2
1731697354.986258,39.3
1731697355.187257,35.9
1731697355.3884559,35.9
1731697355.5896163,33.3
1731697355.7908375,57.5
1731697355.9920728,37.8
1731697356.1932905,37.0
1731697356.3945975,36.7
1731697356.595951,33.8
1731697356.7973945,45.0
1731697356.9988415,55.0
1731697357.2001913,32.5
1731697357.4012604,29.5
1731697357.6026082,36.7
1731697357.8038254,34.6
1731697358.005562,56.8
1731697358.207282,45.7
1731697358.4085402,37.5
1731697358.6099405,34.2
1731697358.811283,37.2
1731697359.012561,43.2
1731697359.2138638,55.7
1731697359.4150374,38.3
1731697359.6162593,33.3
1731697359.817276,37.5
1731697360.018566,36.2
1731697360.2199736,58.5
1731697360.4212654,38.3
1731697360.6222816,35.9
1731697360.8232777,37.2
1731697361.0242693,35.9
1731697361.2255166,38.8
1731697361.4267492,61.3
1731697361.6279802,35.0
1731697361.8292806,36.7
1731697362.0303059,34.6
1731697362.2317612,30.0
1731697362.436262,47.0
1731697362.6374834,46.2
1731697362.8387456,36.7
1731697363.0399382,38.3
1731697363.2413378,38.3
1731697363.4426043,39.0
1731697363.643943,52.5
1731697363.8452466,34.6
1731697364.0464857,37.5
1731697364.247989,38.8
1731697364.4491796,39.8
1731697364.6504996,55.6
1731697364.8516626,34.6
1731697365.0528116,33.8
1731697365.254107,38.3
1731697365.4552853,38.3
1731697365.6566281,56.1
1731697365.857849,37.0
1731697366.059152,35.1
1731697366.2603118,35.4
1731697366.4615688,38.3
1731697366.6628764,56.1
1731697366.8641236,37.5
1731697367.0652518,35.9
1731697367.2662513,35.9
1731697367.467749,38.3
1731697367.669267,51.2
1731697367.8706758,38.8
1731697368.072144,37.5
1731697368.2732399,35.1
1731697368.4743135,38.3
1731697368.6755378,39.0
1731697368.8768153,39.0
1731697369.0780299,38.3
1731697369.2792666,51.9
1731697369.4802883,35.9
1731697369.6816103,37.0
1731697369.8829687,39.8
1731697370.0842319,37.5
1731697370.2856731,53.8
1731697370.486857,34.2
1731697370.688066,38.7
1731697370.8893027,36.6
1731697371.090521,38.3
1731697371.2917585,56.4
1731697371.49305,36.7
1731697371.6945598,35.9
1731697371.8957894,37.8
1731697372.097081,39.5
1731697372.298263,57.0
1731697372.4995942,36.7
1731697372.700796,30.7
1731697372.9020143,38.3
1731697373.1035473,39.0
1731697373.3054845,57.3
1731697373.5069144,35.9
1731697373.7081065,32.5
1731697373.909255,38.0
1731697374.1102655,38.6
1731697374.3116283,58.8
1731697374.512912,36.7
1731697374.7141597,36.7
1731697374.9152975,35.1
1731697375.117175,37.5
1731697375.318267,56.8
1731697375.5195591,37.5
1731697375.7209697,35.1
1731697375.92216,36.7
1731697376.1232727,37.2
1731697376.3245718,56.8
1731697376.525832,35.4
1731697376.7271304,35.1
1731697376.9282787,36.7
1731697377.129553,37.5
1731697377.3308067,43.8
1731697377.531974,53.1
1731697377.7332287,38.3
1731697377.934313,33.8
1731697378.1357586,36.7
1731697378.3369963,38.3
1731697378.5386493,55.0
1731697378.7400153,39.8
1731697378.9416072,35.9
1731697379.1428282,38.0
1731697379.3440843,36.7
1731697379.5453033,43.9
1731697379.7466314,55.0
1731697379.9479458,36.7
1731697380.1491215,37.2
1731697380.3503952,38.3
1731697380.5515904,43.2
1731697380.7528424,44.4
1731697380.9540222,55.7
1731697381.1554766,34.6
1731697381.356686,37.5
1731697381.5579336,39.5
1731697381.759439,40.2
1731697381.9607894,58.2
1731697382.1619382,35.9
1731697382.3632452,36.7
1731697382.5643027,40.2
1731697382.7656143,39.0
1731697382.9667845,38.3
1731697383.1680105,60.8
1731697383.369178,34.6
1731697383.5702603,37.5
1731697383.7712662,32.1
1731697383.9725406,40.2
1731697384.1752684,57.5
1731697384.3767133,43.0
1731697384.5783389,36.7
1731697384.7797587,39.8
1731697384.981124,40.2
1731697385.1826587,39.0
1731697385.3841212,35.5
1731697385.5855966,55.1
1731697385.7869072,43.8
1731697385.9882667,40.2
1731697386.1896029,40.5
1731697386.3908327,37.2
1731697386.592119,57.0
1731697386.7932825,35.9
1731697386.9946778,42.0
1731697387.195881,39.8
1731697387.3971663,37.5
1731697387.5986571,47.4
1731697387.8000128,51.3
1731697388.001268,38.3
1731697388.2025084,39.5
1731697388.4040074,40.2
1731697388.606188,50.0
1731697388.8073032,51.3
1731697389.0087798,35.1
1731697389.2102406,40.2
1731697389.4118361,40.7
1731697389.6132925,44.3
1731697389.8146098,54.5
1731697390.016033,32.9
1731697390.217266,39.5
1731697390.4185534,37.3
1731697390.6200702,40.2
1731697390.8212554,64.6
1731697391.0222554,34.6
1731697391.2232597,38.0
1731697391.4242547,39.5
1731697391.6255083,39.5
1731697391.826729,60.8
1731697392.0279937,36.4
1731697392.2292736,36.7
1731697392.4304748,38.8
1731697392.631685,40.2
1731697392.8329294,63.3
1731697393.0341752,36.4
1731697393.235271,35.1
1731697393.43664,37.2
1731697393.6379905,39.5
1731697393.8392723,57.5
1731697394.0405042,40.0
1731697394.2417433,36.4
1731697394.443111,35.1
1731697394.6443021,38.3
1731697394.8456433,38.8
1731697395.047337,37.5
1731697395.248936,53.2
1731697395.4502184,36.4
1731697395.6514776,34.6
1731697395.8527038,40.2
1731697396.0541604,39.0
1731697396.2552588,38.5
1731697396.45655,62.3
1731697396.6578221,45.7
1731697396.8594112,37.8
1731697397.0608943,37.8
1731697397.262096,36.7
1731697397.4632573,51.3
1731697397.6643696,82.5
1731697397.8656223,70.0
1731697398.0668967,60.0
1731697398.2680795,63.8
1731697398.469522,70.4
1731697398.6714456,75.0
1731697398.872938,81.0
1731697399.074232,39.8
1731697399.2757325,46.9
1731697399.4769585,44.4
1731697399.6793268,41.0
1731697399.8806112,73.8
1731697400.0822132,46.9
1731697400.283738,47.6
1731697400.484977,45.7
1731697400.6882803,58.2
1731697400.8896325,61.7
1731697401.0907917,45.7
1731697401.2922475,47.0
1731697401.4932508,46.9
1731697401.6945117,50.6
1731697401.8957875,69.6
1731697402.0972567,46.3
1731697402.2984936,53.7
1731697402.4997218,38.3
1731697402.7010338,48.1
1731697402.9032686,73.4
1731697403.1045809,47.5
1731697403.3059893,50.6
1731697403.5071797,46.9
