time,Width,Height,Center X,Center Y,PID X,PID Y,PID Depth
1731696793.8516138,15,15,314,246,6.0,-6.0,67.5
1731696793.8866155,16,14,314,246,6.0,-6.0,60.0
1731696793.9185538,15,15,313,245,7.0,-5.0,67.5
1731696793.9484758,15,15,313,245,7.0,-5.0,67.5
1731696793.9922316,15,15,312,243,8.0,-3.0,67.5
1731696794.0220916,14,14,311,240,9.0,0.0,75.0
1731696794.0475025,15,15,310,236,10.0,4.0,67.5
1731696794.0833986,14,15,309,233,11.0,7.0,75.0
1731696794.116701,16,14,308,230,12.0,10.0,60.0
1731696794.1470304,15,15,306,227,14.0,13.0,67.5
1731696794.18297,15,15,305,226,15.0,14.0,67.5
1731696794.2164862,16,14,304,225,16.0,15.0,60.0
1731696794.2492602,14,15,303,224,17.0,16.0,75.0
1731696794.284762,15,15,301,223,19.0,17.0,67.5
1731696794.318175,15,14,300,223,20.0,17.0,67.5
1731696794.3506656,14,14,299,223,21.0,17.0,75.0
1731696794.383813,16,15,298,223,22.0,17.0,60.0
1731696794.4166412,14,15,297,223,23.0,17.0,75.0
1731696794.4480283,12,12,296,224,24.0,16.0,90.0
1731696794.4830716,10,13,295,224,25.0,16.0,100
1731696794.5160148,10,11,295,225,25.0,15.0,100
1731696794.5488882,12,12,294,226,26.0,14.0,90.0
1731696794.5840938,13,14,292,225,28.0,15.0,82.5
1731696794.6171105,12,12,292,224,28.0,16.0,90.0
1731696794.6518376,14,14,291,224,29.0,16.0,75.0
1731696794.688146,13,14,290,224,30.0,16.0,82.5
1731696794.7166388,13,14,290,224,30.0,16.0,82.5
1731696794.7498171,14,14,289,224,31.0,16.0,75.0
1731696794.784536,14,15,289,224,31.0,16.0,75.0
1731696794.8195806,14,14,288,226,32.0,14.0,75.0
1731696794.848814,14,14,287,226,33.0,14.0,75.0
1731696794.884972,13,13,287,226,33.0,14.0,82.5
1731696794.9162483,10,13,287,227,33.0,13.0,100
1731696794.948476,10,11,287,229,33.0,11.0,100
1731696794.9843583,8,7,288,230,32.0,10.0,100
1731696795.0181282,12,14,286,231,34.0,9.0,90.0
1731696795.047768,15,15,285,229,35.0,11.0,67.5
1731696795.0843503,15,15,285,229,35.0,11.0,67.5
1731696795.117336,15,15,284,228,36.0,12.0,67.5
1731696795.1481237,14,14,285,229,35.0,11.0,75.0
1731696795.1838174,12,13,284,229,36.0,11.0,90.0
1731696795.2159362,14,14,283,232,37.0,8.0,75.0
1731696795.2496033,15,15,282,233,38.0,7.0,67.5
1731696795.2861927,14,14,281,236,39.0,4.0,75.0
1731696795.3227196,15,14,280,236,40.0,4.0,67.5
1731696795.3575306,14,14,279,236,41.0,4.0,75.0
1731696795.3857834,14,14,279,236,41.0,4.0,75.0
1731696795.4176593,12,15,278,237,42.0,3.0,90.0
1731696795.4500768,14,14,277,238,43.0,2.0,75.0
1731696795.4835346,15,15,276,239,44.0,1.0,67.5
1731696795.5166042,16,15,276,239,44.0,1.0,60.0
1731696795.548152,15,15,275,238,45.0,2.0,67.5
1731696795.5841722,16,14,274,237,46.0,3.0,60.0
1731696795.6177309,16,15,274,237,46.0,3.0,60.0
1731696795.6480083,17,15,272,238,48.0,2.0,52.5
1731696795.684223,16,15,272,240,48.0,0.0,60.0
1731696795.7168941,16,15,270,241,50.0,-1.0,60.0
1731696795.7483048,16,14,270,241,50.0,-1.0,60.0
1731696795.784884,18,16,269,241,51.0,-1.0,45.0
1731696795.817769,16,15,268,240,52.0,0.0,60.0
1731696795.849419,17,16,266,241,54.0,-1.0,52.5
1731696795.88467,16,15,266,241,54.0,-1.0,60.0
1731696795.9165318,18,16,265,243,55.0,-3.0,45.0
1731696795.9481077,16,15,264,243,56.0,-3.0,60.0
1731696795.9841387,16,16,262,243,58.0,-3.0,60.0
1731696796.0198445,16,15,262,242,58.0,-2.0,60.0
1731696796.0493846,16,15,260,242,60.0,-2.0,60.0
1731696796.0850654,18,16,259,243,61.0,-3.0,45.0
1731696796.11658,17,17,257,243,63.0,-3.0,52.5
1731696796.1475048,17,17,256,242,64.0,-2.0,52.5
1731696796.1834903,18,16,255,242,65.0,-2.0,45.0
1731696796.2179918,17,15,253,241,67.0,-1.0,52.5
1731696796.250232,19,17,252,242,68.0,-2.0,37.5
1731696796.283921,18,16,251,243,69.0,-3.0,45.0
1731696796.3282118,18,17,249,242,71.0,-2.0,45.0
1731696796.3512638,16,17,248,242,72.0,-2.0,60.0
1731696796.3843942,18,17,247,241,73.0,-1.0,45.0
1731696796.4167502,18,17,245,242,75.0,-2.0,45.0
1731696796.449256,18,17,243,242,77.0,-2.0,45.0
1731696796.4841704,19,17,241,241,79.0,-1.0,37.5
1731696796.516839,19,18,240,242,80.0,-2.0,37.5
1731696796.5477874,19,17,239,242,81.0,-2.0,37.5
1731696796.5836742,20,17,238,242,82.0,-2.0,30.0
1731696796.616501,18,17,237,243,83.0,-3.0,45.0
1731696796.6482544,18,17,235,243,85.0,-3.0,45.0
1731696796.6834245,19,17,234,243,86.0,-3.0,37.5
1731696796.7163718,18,16,233,244,87.0,-4.0,45.0
1731696796.7492979,20,18,232,244,88.0,-4.0,30.0
1731696796.784015,20,18,232,244,88.0,-4.0,30.0
1731696796.8153377,19,18,230,244,90.0,-4.0,37.5
1731696796.8479452,19,18,229,244,91.0,-4.0,37.5
1731696796.884417,19,18,229,245,91.0,-5.0,37.5
1731696796.916534,20,17,228,245,92.0,-5.0,30.0
1731696796.9504116,20,18,228,246,92.0,-6.0,30.0
1731696796.9846742,20,18,228,246,92.0,-6.0,30.0
1731696797.0165431,20,18,228,246,92.0,-6.0,30.0
1731696797.0497713,20,18,228,247,92.0,-7.0,30.0
1731696797.0830321,21,18,227,247,93.0,-7.0,22.5
1731696797.1153674,21,18,227,248,93.0,-8.0,22.5
1731696797.1486828,21,19,227,248,93.0,-8.0,22.5
1731696797.1841085,20,18,228,249,92.0,-9.0,30.0
1731696797.2222528,20,19,228,249,92.0,-9.0,30.0
1731696797.2478244,20,19,228,250,92.0,-10.0,30.0
1731696797.2883754,20,19,228,251,92.0,-11.0,30.0
1731696797.3157315,21,18,229,252,91.0,-12.0,22.5
1731696797.3492677,20,19,230,252,90.0,-12.0,30.0
1731696797.389638,21,17,230,251,90.0,-11.0,22.5
1731696797.4217186,21,19,231,251,89.0,-11.0,22.5
1731696797.4494033,20,18,232,251,88.0,-11.0,30.0
1731696797.4836347,22,19,233,250,87.0,-10.0,15.0
1731696797.5168123,20,19,234,250,86.0,-10.0,30.0
1731696797.5509074,22,18,235,251,85.0,-11.0,15.0
1731696797.5850713,20,19,236,251,84.0,-11.0,30.0
1731696797.6160815,21,18,237,252,83.0,-12.0,22.5
1731696797.6479232,21,19,238,252,82.0,-12.0,22.5
1731696797.6850195,21,18,239,253,81.0,-13.0,22.5
1731696797.7162304,20,19,240,252,80.0,-12.0,30.0
1731696797.7488616,22,20,241,253,79.0,-13.0,15.0
1731696797.7839017,22,19,241,252,79.0,-12.0,15.0
1731696797.81686,20,19,242,252,78.0,-12.0,30.0
1731696797.8480184,22,19,243,251,77.0,-11.0,15.0
1731696797.8840253,20,20,244,252,76.0,-12.0,30.0
1731696797.9168,22,19,245,251,75.0,-11.0,15.0
1731696797.9540954,22,20,245,251,75.0,-11.0,15.0
1731696797.9887846,22,20,246,251,74.0,-11.0,15.0
1731696798.0157576,21,20,246,252,74.0,-12.0,22.5
1731696798.047411,20,20,248,252,72.0,-12.0,30.0
1731696798.0856009,21,20,248,252,72.0,-12.0,22.5
1731696798.1195498,21,19,248,252,72.0,-12.0,22.5
1731696798.1474442,20,19,248,253,72.0,-13.0,30.0
1731696798.183854,19,19,249,253,71.0,-13.0,37.5
1731696798.217578,20,19,250,252,70.0,-12.0,30.0
1731696798.2483578,20,19,250,252,70.0,-12.0,30.0
1731696798.2838707,20,20,250,253,70.0,-13.0,30.0
1731696798.3168929,23,20,250,253,70.0,-13.0,7.5
1731696798.3488371,23,20,249,253,71.0,-13.0,7.5
1731696798.3841982,23,20,250,252,70.0,-12.0,7.5
1731696798.421316,23,21,250,253,70.0,-13.0,7.5
1731696798.4474425,23,21,250,254,70.0,-14.0,7.5
1731696798.4865491,23,20,250,256,70.0,-16.0,7.5
1731696798.5153248,22,20,251,257,69.0,-17.0,15.0
1731696798.5490415,21,19,250,258,70.0,-18.0,22.5
1731696798.5839274,23,21,250,259,70.0,-19.0,7.5
1731696798.616363,24,20,250,260,70.0,-20.0,0.0
1731696798.6477582,22,20,249,260,71.0,-20.0,15.0
1731696798.6844804,23,20,249,260,71.0,-20.0,7.5
1731696798.7158103,23,21,250,260,70.0,-20.0,7.5
1731696798.7493954,21,20,249,262,71.0,-22.0,22.5
1731696798.7842388,20,19,250,262,70.0,-22.0,30.0
1731696798.8166666,21,20,249,263,71.0,-23.0,22.5
1731696798.8475673,22,21,249,262,71.0,-22.0,15.0
1731696798.8845332,22,20,249,262,71.0,-22.0,15.0
1731696798.9155521,23,20,249,261,71.0,-21.0,7.5
1731696798.9484944,23,21,249,260,71.0,-20.0,7.5
1731696798.98392,23,21,249,260,71.0,-20.0,7.5
1731696799.0163078,23,21,249,260,71.0,-20.0,7.5
1731696799.0487204,23,21,249,260,71.0,-20.0,7.5
1731696799.083906,24,21,250,261,70.0,-21.0,0.0
1731696799.1160035,23,21,249,261,71.0,-21.0,7.5
1731696799.150323,24,21,250,262,70.0,-22.0,0.0
1731696799.186102,23,22,249,263,71.0,-23.0,7.5
1731696799.215777,24,21,250,262,70.0,-22.0,0.0
1731696799.248588,24,22,250,263,70.0,-23.0,0.0
1731696799.2848089,24,21,250,263,70.0,-23.0,0.0
1731696799.3154993,23,21,249,264,71.0,-24.0,7.5
1731696799.34888,24,21,250,265,70.0,-25.0,0.0
1731696799.387268,24,20,250,266,70.0,-26.0,0.0
1731696799.4169278,23,21,249,266,71.0,-26.0,7.5
1731696799.451352,24,21,250,267,70.0,-27.0,0.0
1731696799.4835896,23,21,249,268,71.0,-28.0,7.5
1731696799.5179858,22,21,249,269,71.0,-29.0,15.0
1731696799.5503252,24,22,249,270,71.0,-30.0,0.0
1731696799.584489,24,21,248,270,72.0,-30.0,0.0
1731696799.6163874,24,21,248,270,72.0,-30.0,0.0
1731696799.6499643,24,21,248,270,72.0,-30.0,0.0
1731696799.6851418,24,21,248,270,72.0,-30.0,0.0
1731696799.7158785,24,22,246,270,74.0,-30.0,0.0
1731696799.747596,24,21,246,270,74.0,-30.0,0.0
1731696799.784344,24,20,244,271,76.0,-31.0,0.0
1731696799.8167417,24,21,244,270,76.0,-30.0,0.0
1731696799.8479931,24,21,244,271,76.0,-31.0,0.0
1731696799.8836303,24,23,243,271,77.0,-31.0,0.0
1731696799.9160376,24,22,242,271,78.0,-31.0,0.0
1731696799.9481454,24,20,242,271,78.0,-31.0,0.0
1731696799.9841177,24,22,242,271,78.0,-31.0,0.0
1731696800.0158603,23,21,241,269,79.0,-29.0,7.5
1731696800.0492468,24,21,241,269,79.0,-29.0,0.0
1731696800.0864277,24,22,240,269,80.0,-29.0,0.0
1731696800.115836,24,22,240,269,80.0,-29.0,0.0
1731696800.1492598,24,22,240,269,80.0,-29.0,0.0
1731696800.1854534,24,21,240,268,80.0,-28.0,0.0
1731696800.217723,22,20,241,268,79.0,-28.0,15.0
1731696800.2489882,23,21,240,268,80.0,-28.0,7.5
1731696800.2846355,23,20,240,269,80.0,-29.0,7.5
1731696800.315683,24,21,241,268,79.0,-28.0,0.0
1731696800.349456,22,20,241,269,79.0,-29.0,15.0
1731696800.3834462,24,21,241,268,79.0,-28.0,0.0
1731696800.4157066,24,21,242,267,78.0,-27.0,0.0
1731696800.4482667,24,22,242,267,78.0,-27.0,0.0
1731696800.4848564,24,20,242,266,78.0,-26.0,0.0
1731696800.5232933,24,21,242,265,78.0,-25.0,0.0
1731696800.5526984,24,21,242,265,78.0,-25.0,0.0
1731696800.583515,22,20,243,265,77.0,-25.0,15.0
1731696800.617141,23,20,243,265,77.0,-25.0,7.5
1731696800.651093,23,20,243,266,77.0,-26.0,7.5
1731696800.6861532,24,21,244,266,76.0,-26.0,0.0
1731696800.7157714,23,20,243,266,77.0,-26.0,7.5
1731696800.7498639,24,21,244,266,76.0,-26.0,0.0
1731696800.7856796,24,21,244,265,76.0,-25.0,0.0
1731696800.8176615,24,21,244,265,76.0,-25.0,0.0
1731696800.8491876,22,20,243,266,77.0,-26.0,15.0
1731696800.8879318,24,21,242,266,78.0,-26.0,0.0
1731696800.9186318,23,20,242,267,78.0,-27.0,7.5
1731696800.9474676,23,20,242,268,78.0,-28.0,7.5
1731696800.983895,22,20,243,268,77.0,-28.0,15.0
1731696801.0179555,23,21,243,267,77.0,-27.0,7.5
1731696801.0497289,23,21,242,267,78.0,-27.0,7.5
1731696801.0852382,24,20,242,266,78.0,-26.0,0.0
1731696801.1162825,24,21,242,264,78.0,-24.0,0.0
1731696801.151134,23,21,242,263,78.0,-23.0,7.5
1731696801.1859267,24,21,242,263,78.0,-23.0,0.0
1731696801.2165205,23,20,242,264,78.0,-24.0,7.5
1731696801.2520177,24,21,242,264,78.0,-24.0,0.0
1731696801.285156,24,22,242,264,78.0,-24.0,0.0
1731696801.318954,24,20,242,263,78.0,-23.0,0.0
1731696801.3487623,24,19,242,262,78.0,-22.0,0.0
1731696801.3849638,23,20,241,262,79.0,-22.0,7.5
1731696801.4183035,22,20,241,262,79.0,-22.0,15.0
1731696801.4481497,23,20,240,262,80.0,-22.0,7.5
1731696801.4836729,24,21,240,261,80.0,-21.0,0.0
1731696801.516028,24,21,240,261,80.0,-21.0,0.0
1731696801.554874,24,21,240,260,80.0,-20.0,0.0
1731696801.5874481,24,21,240,259,80.0,-19.0,0.0
1731696801.624708,23,21,239,259,81.0,-19.0,7.5
1731696801.65161,22,21,239,260,81.0,-20.0,15.0
1731696801.6853285,24,20,238,261,82.0,-21.0,0.0
